,Region,Country,Code,GAVI2004,GAVI2005,GAVI2006,GAVI2007,GAVI2008,GAVI2009,GAVI2010,GAVI2011,GAVI2012,GAVI2013,GAVI2014,GAVI2015,GAVI2016,GAVI2017,GAVI2018,GAVI2019,Pol3GAVI,Pol3GAVIa,DPT3GAVI,DPT3GAVIa,Polio,DPT3,VA,PS,RL,RQ,GE,CC,Importance,Safety,Effectiveness,GNI
114,AMR,Mexico,MEX,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,82,82,0.02,0.71,0.66,0.1,0.16,0.82,0.01,0.0654,0.0477,9490
115,WPR,Micronesia (Federated States of),FSM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,78,78,1.09,1,0.02,0.96,0.19,0.75,NA,NA,NA,3450
116,EUR,Monaco,MCO,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.68,1.59,NA,NA,NA,NA,NA,NA,NA,NA
117,WPR,Mongolia,MNG,,,,,,,,,,,,,,,,,0,FALSE,1,TRUE,98,98,0.35,0.64,0.27,0.01,0.19,0.44,0.0426,0.1598,0.0525,3516.666667
118,EUR,Montenegro,MNE,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,86,86,0.03,0.01,0.1,0.37,0.16,0.03,0.0693,0.1344,0.0704,7253.333333
119,EMR,Morocco,MAR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.63,0.37,0.14,0.21,0.12,0.28,0.0166,0.0388,0.0432,2926.666667
120,AFR,Mozambique,MOZ,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,88,88,0.51,0.75,1.02,0.72,0.82,0.8,0.01,0.0438,0.0917,546.6666667
121,SEAR,Myanmar,MMR,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,90,90,0.84,1.26,1.06,0.76,1.15,0.63,0.0073,0.042,0.0311,1170
122,AFR,Namibia,NAM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,84,87,0.54,0.53,0.31,0.11,0.1,0.37,0.0445,0.1117,0.1571,4890
123,WPR,Nauru,NRU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,0.63,0.86,0.76,0.03,0.13,0.45,NA,NA,NA,12930
124,SEAR,Nepal,NPL,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,92,93,0.13,0.47,0.54,0.7,1.05,0.67,0.0104,0.0331,0.068,920
125,EUR,Netherlands,NLD,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,94,94,1.56,0.86,1.81,1.86,1.8,2,0.0567,0.1695,0.1083,47940
126,WPR,New Zealand,NZL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,1.57,1.51,1.88,1.88,1.67,2.17,0.0561,0.0981,0.0663,39666.66667
127,AMR,Nicaragua,NIC,,,,,,,,,,,,,,,,,1,TRUE,0,FALSE,99,98,1.08,1.03,1.18,0.69,0.77,1.12,NA,0.0277,0.0376,1960
128,AFR,Niger,NER,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,81,81,0.57,1.4,0.53,0.67,0.8,0.55,0.0418,0.0724,0.0345,536.6666667
129,AFR,Nigeria,NGA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,57,57,0.41,1.93,0.9,0.86,1.09,1.09,0.0324,0.0495,0.1596,2446.666667
130,WPR,Niue,NIU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,EUR,Norway,NOR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,1.69,1.19,1.98,1.8,1.86,2.07,0.0192,0.0567,0.0273,83310
132,EMR,Oman,OMN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.14,0.59,0.55,0.29,0.26,0.45,NA,NA,NA,15723.33333
133,EMR,Pakistan,PAK,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,75,75,0.84,2.25,0.67,0.64,0.68,0.85,0.0205,0.0448,0.0437,1323.333333
134,WPR,Palau,PLW,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,1.09,0.86,0.31,0.01,0.05,0.45,NA,NA,NA,16396.66667
135,AMR,Panama,PAN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,88,88,0.62,0.31,0.12,0.36,0.07,0.58,0.0157,0.0507,0.0563,12910
136,WPR,Papua New Guinea,PNG,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,42,35,0.07,0.83,0.8,0.54,0.81,0.99,NA,NA,NA,2720
137,AMR,Paraguay,PRY,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,84,86,0.08,0,0.56,0.2,0.53,0.83,0.017,0.0796,0.0833,5470
138,AMR,Peru,PER,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,87,88,0.29,0.14,0.49,0.56,0.07,0.45,0.0312,0.1746,0.1537,6170
139,WPR,Philippines,PHL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,66,65,0.03,0.88,0.48,0.01,0.05,0.57,0.0513,0.139,0.0887,3453.333333
140,EUR,Poland,POL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,87,95,0.7,0.52,0.45,1.01,0.6,0.6,0.0414,0.0527,0.0396,12920
141,EUR,Portugal,PRT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.24,1.13,1.14,0.97,1.15,0.76,NA,0.0514,0.0831,20136.66667
142,EMR,Qatar,QAT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,1.29,0.7,0.73,0.68,0.71,0.85,NA,NA,NA,64970
143,WPR,Republic of Korea,KOR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,0.77,0.48,1.19,1.07,1.38,0.76,0.0511,0.0789,0.0245,29450
144,EUR,Republic of Moldova,MDA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,91,0.09,0.38,0.37,0.01,0.38,0.62,0.0688,0.1075,0.0726,3270
145,EUR,North Macedonia,MKD,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,0,0.05,0.24,0.51,0,0.41,0.0647,0.1352,0.0904,5003.333333
146,EUR,Romania,ROU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,88,88,NA,NA,NA,NA,NA,NA,0.0458,0.1289,0.06,9776.666667
147,EUR,Russian Federation,RUS,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,97,1.1,0.54,0.72,0.43,0.15,0.83,0.0947,0.2361,0.1199,10240
148,AFR,Rwanda,RWA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,98,98,1.08,0.12,0.08,0.08,0.19,0.56,0.0062,0.0163,0.0065,740
149,AMR,Saint Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,0.84,0.73,0.48,0.5,0.54,0.39,NA,NA,NA,16910
150,AMR,Saint Lucia,LCA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,92,0.93,0.93,0.57,0.23,0.23,0.52,NA,NA,NA,9423.333333
151,AMR,Saint Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,97,0.93,0.96,0.45,0.21,0.23,0.78,NA,NA,NA,6783.333333
152,WPR,Samoa,WSM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,55,58,0.75,1.12,1.08,0.22,0.44,0.64,NA,NA,NA,4046.666667
153,EUR,San Marino,SMR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,90,88,1.19,0.9,NA,NA,NA,NA,NA,NA,NA,NA
154,AFR,Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,95,95,0.37,0.52,0.68,0.91,0.63,0.23,NA,NA,NA,1680
155,EMR,Saudi Arabia,SAU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,96,1.62,0.43,0.17,0.07,0.31,0.27,0.0131,0.0273,0.0386,21770
156,AFR,Senegal,SEN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,91,93,0.26,0.06,0.19,0.11,0.06,0.05,0.0272,0.1474,0.0941,1290
157,EUR,Serbia,SRB,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,0.03,0.09,0.12,0.11,0.02,0.45,0.0538,0.0923,0.0518,5743.333333
158,AFR,Seychelles,SYC,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.34,0.69,0.17,0.15,0.52,0.97,NA,NA,NA,14070
159,AFR,Sierra Leone,SLE,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,95,95,0.1,0.1,0.77,0.88,1.13,0.41,0.0065,0.0393,0.0362,520
160,WPR,Singapore,SGP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,0.18,1.53,1.88,2.16,2.22,2.16,0.0211,0.0305,0.0287,53560
161,EUR,Slovakia,SVK,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,0.91,0.78,0.56,1.01,0.67,0.33,0.0262,0.0639,0.0239,17020
162,EUR,Slovenia,SVN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,95,1.01,0.82,1.12,1.01,1.08,0.91,0.058,0.1229,0.0795,22046.66667
163,WPR,Solomon Islands,SLB,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,93,94,0.6,0.5,0.14,0.83,1,0.01,NA,NA,NA,2166.666667
164,EMR,Somalia,SOM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,47,42,1.84,2.38,2.35,2.2,2.24,1.71,NA,NA,NA,290
165,AFR,South Africa,ZAF,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,77,77,0.67,0.22,0.08,0.16,0.37,0.08,0.0466,0.0899,0.1076,5643.333333
166,AFR,South Sudan,SSD,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,50,49,1.97,2.56,1.97,2.05,2.45,1.77,NA,NA,NA,1090
167,EUR,Spain,ESP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.09,0.32,0.98,1.05,1,0.65,0.0501,0.0704,0.0586,27676.66667
168,SEAR,Sri Lanka,LKA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,99,99,0.04,0.23,0.01,0.18,0.11,0.32,0.0067,0.0704,0.0353,3813.333333
169,EMR,Sudan,SDN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,93,93,1.64,1.67,1.14,1.67,1.62,1.37,NA,NA,NA,1450
170,AMR,Suriname,SUR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,76,77,0.39,0.11,0.06,0.68,0.59,0.39,NA,NA,NA,7250
171,EUR,Sweden,SWE,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,1.59,1.05,1.91,1.8,1.83,2.12,0.022,0.1228,0.0312,55270
172,EUR,Switzerland,CHE,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.53,1.34,1.91,1.66,1.95,1.98,0.0926,0.2154,0.0768,85153.33333
173,EMR,Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,60,54,1.98,2.73,2.08,1.76,1.71,1.69,NA,NA,NA,NA
174,EUR,Tajikistan,TJK,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,97,97,1.83,0.58,1.23,1.01,1.05,1.32,0.0067,0.009,0.0078,1133.333333
175,SEAR,Thailand,THA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,0.83,0.54,0.1,0.12,0.36,0.41,0.0121,0.0301,0.0225,5793.333333
176,SEAR,Timor-Leste,TLS,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,90,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910
177,AFR,Togo,TGO,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,78,84,0.72,0.81,0.59,0.68,0.92,0.75,0.0306,0.2501,0.122,676.6666667
178,WPR,Tonga,TON,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.56,1.12,0.46,0.33,0.16,0.35,NA,NA,NA,4480
179,AMR,Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,93,93,0.62,0.06,0.12,0.15,0.1,0.19,NA,NA,NA,17256.66667
180,EMR,Tunisia,TUN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,0.28,0.83,0.06,0.44,0.1,0.08,0.0264,0.0506,0.0329,3746.666667
181,EUR,Turkey,TUR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.81,1.34,0.28,0.01,0.05,0.29,0.0346,0.0589,0.0358,11420
182,EUR,Turkmenistan,TKM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,2.13,0.09,1.41,1.96,1.16,1.51,0.0539,0.0485,0.0532,6746.666667
183,WPR,Tuvalu,TUV,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,1.12,1.2,0.48,0.56,0.65,0.41,NA,NA,NA,5103.333333
184,AFR,Uganda,UGA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,92,93,0.62,0.65,0.31,0.37,0.59,1.17,0.0164,0.0853,0.1363,786.6666667
185,EUR,Ukraine,UKR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,78,80,0.06,1.52,0.7,0.26,0.3,0.71,0.0429,0.1527,0.0706,2446.666667
186,EMR,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,99,1.12,0.7,0.84,0.98,1.38,1.11,0.0245,0.0438,0.0339,40906.66667
187,EUR,United Kingdom of Great Britain and Northern Ireland,GBR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,93,93,1.26,0.52,1.6,1.63,1.44,1.77,0.0355,0.0873,0.0266,42853.33333
